premiseID,capacitykW,installDate,manufacturer,model,azimuth,tilt,rateClass,dateInstalled,premiseRateCode,maxAC,efficiency
10082,8.25,7/21/2014 0:00,Fronius,IG+ 7.5,95,19,E100,7/21/2014,E135,7.5,96.2
10246,1.8,11/7/2006 0:00,SMA,SB 1800u,190,37,E100,11/7/2006,E140,1.8,96.5
10254,5.12,11/30/2018 0:00,SolarEdge,SE5000H-US,181,20,E100,11/30/2018,E125,5.4,97.5
10259,9.38,1/8/2018 0:00,SolarEdge,SE7600A-US,180,27,E100,1/8/2018,E130,8.35,97.5
10277,3.9,2/27/2017 0:00,SMA,Sunny Boy 5.0 1SP-US-40,202,18,E100,2/27/2017,E140,5,95.5
10280,5.8,12/19/2014 0:00,Enphase,(21) M250,180,33,E100,12/19/2014,E140,5.25,96.5
10291,10.66,12/16/2016 0:00,SolarEdge,SE10000A,203,18,E100,12/16/2016,E220,10.8,97.5
10518,4.3,12/3/2013 0:00,Enphase,M215 (18),140,25,E200,12/3/2013,E220,3.87,95.5
10614,11.1,5/24/2018 0:00,SolarEdge,SE10000A,181,27,E100,5/24/2018,E140,10.8,97.5
10880,2.1,7/3/2013 0:00,Fronius,IG2000,240,5,E250,7/3/2013,E220,2,95.2
10992,10.08,8/23/2018 0:00,SolarEdge,SE7600H-US000SNU2,130,35,E100,8/23/2018,E140,8.35,97.5
11444,4.2,4/20/2017 0:00,SolarEdge,HD Wave 3000H,180,23,E100,4/20/2017,E140,3.3,97.5
11470,4.75,4/8/2014 0:00,Power One,PVI 3.6,180,27,E100,4/8/2014,E140,4,96
11655,7.02,12/30/2016 0:00,SolarEdge,SE6000A-US,181,33,E100,12/30/2016,E140,6,97.5
12144,2.7,5/26/2017 0:00,Enphase,M250-60-2LL-S24,201,26,E100,5/26/2017,E140,,
12154,7,11/24/2014 0:00,Enphase,(26) M250,95,18,E100,11/24/2014,E130,6.5,96.5
12168,5.7,4/8/2014 0:00,Power One,PVI-5000,200,35,E100,4/8/2014,E130,5,96.4
12239,4.34,6/19/2015 0:00,ABB Power One,PVI-3.6,155,18,E100,6/19/2015,E140,4,96
12325,3.64,7/19/2016 0:00,SolarEdge,SE3000,185,18,E100,7/19/2016,E140,3.3,97.5
12768,4,3/29/2013 0:00,Aurora,PVI-3.8,137,18,E100,3/29/2013,E130,4.2,96
12782,6.9,2/27/2014 0:00,Power One,PVI-6000,118,18,E100,2/27/2014,E130,6,96.4
12786,3,12/14/2017 0:00,SolarEdge,SE3000H-US,90,18,E100,12/14/2017,E130,3.3,97.5
12825,3.25,1/12/2018 0:00,SolarEdge,SE3000H-US-ZB-U,180,18,E100,1/12/2018,E130,3.3,97.5
12839,4.58,4/13/2018 0:00,SolarEdge,SE3800H-US000SNU2,180,22,E100,4/13/2018,E130,4.15,98
12852,4.7,2/12/2013 0:00,SMA,4000US,180,45,E100,2/12/2013,E130,4,96.5
12890,9.75,11/28/2018 0:00,SolarEdge,SE10000A-USR00SNU2,90,20,E100,11/28/2018,E100,10.8,97.5
12896,3,9/13/2012 0:00,Power One,PVI-3.0,180,19,E100,9/13/2012,E130,3.3,96
12912,13.5,5/26/2017 0:00,2 SolarEdge,SE6000A-US,180,18,E100,5/26/2017,E130,12,95.5
